mls_listing_number,address,list_price,total_bedrooms,total_bathrooms,total_square_feet,property_type,architecture_style,neighborhood_name,school_district_name,elementary_school_name,middle_school_name,high_school_name,listing_description,views
SF134677,"2078 Cesar Chavez St, San Francisco, CA",1775000,4,4.5,2300,Single Family,Contemporary,Mission District,San Francisco Unified School District,Cesar Chavez Elementary,James Lick Middle School,John O'Connell High School,"Rare opportunity to own a meticulously restored Contemporary in Mission District. This 4-bed, 4.5-bath home (2,300 sq ft) balances period character with modern updates. The fully remodeled kitchen with custom cabinetry and quartz countertops leads to a wrap-around deck, ideal for entertaining. Upstairs, the naturally lit primary bedroom features period windows. Original fir floors throughout. Deeded parking and in-unit laundry closet. Mission District is celebrated for vibrant, diverse neighborhood with taquerias, bars, and murals — this home delivers it all.",None
SF281614,"3970 Noe St, San Francisco, CA",2050000,3,4.0,3700,Single Family,Victorian,Noe Valley,San Francisco Unified School District,Douglass Elementary,Aptos Middle School,Wallenberg Traditional High School,"Rare opportunity to own a meticulously restored Victorian in Noe Valley. This 3-bed, 4.0-bath home (3,700 sq ft) balances period character with modern updates. The gourmet kitchen with waterfall island and wine refrigerator leads to a shared roof deck with panoramic views, ideal for entertaining. Upstairs, the luminous primary bedroom features an ensuite bath and walk-in closet. Original oak floors throughout. Tandem garage and dedicated laundry room. Noe Valley is celebrated for sunny, family-friendly village feel with boutiques and cafés — this home delivers it all.",None
SF902658,"583 Liberty St, San Francisco, CA",1250000,3,4.0,1300,Condo,Contemporary,Castro,San Francisco Unified School District,Sanchez Elementary,Everett Middle School,Abraham Lincoln High School,"Sophisticated 3BD/4.0BA contemporary condo in the heart of Castro. This naturally lit 1,300 sq ft residence features bright eat-in kitchen with breakfast nook and garden window, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. In-unit washer/dryer, deeded parking, and an expansive yard round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Castro's Michelin-starred restaurants and nightlife.",City View
SF812730,"3238 6th Ave, San Francisco, CA",1525000,2,3.0,1350,Townhouse,Contemporary,Inner Richmond,San Francisco Unified School District,Lone Mountain Elementary,Roosevelt Middle School,George Washington High School,"Stunning 2BD/3.0BA Contemporary townhouse in Inner Richmond — the best of both worlds: the space of a home with the ease of condo living. Spanning 1,350 sq ft across three levels, this sun-soaked residence features chef's kitchen with Carrara marble countertops and stainless appliances, a private rooftop deck, and 1-car garage. Open living/dining on the main level flows to a wrap-around deck. The primary suite occupies its own floor with a spa bath, dual vanities, and walk-in closet. In-unit washer/dryer on bedroom level.",None
SF574012,"2526 Carl St, San Francisco, CA",775000,2,2.0,1450,Condo,Art Deco,Cole Valley,San Francisco Unified School District,Harvey Milk Civil Rights Academy,Aptos Middle School,Galileo High School,"Welcome to unit #9B — a luminous 2BD/2.0BA residence in one of Cole Valley's most desirable buildings. At 1,450 sq ft, this art deco condo offers designer kitchen with integrated appliances and pantry, custom built-ins, and engineered hardwood floors. Amenities include a rooftop terrace and club room. Washer/dryer hookups, 1-car garage. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF863187,"1481 7th Ave, San Francisco, CA",1900000,3,4.0,1750,Single Family,Modern Farmhouse,Inner Sunset,San Francisco Unified School District,Inner Sunset Elementary,Aptos Middle School,Abraham Lincoln High School,"Exceptional Modern Farmhouse 3BD/4.0BA in coveted Inner Sunset. Spanning 1,750 sq ft, this naturally lit home features fully remodeled kitchen with custom cabinetry and quartz countertops, gleaming hardwood floors, and a rooftop terrace. The spacious primary suite offers a walk-in closet and spa-inspired bath. Additional highlights: in-unit washer/dryer, EV-ready garage, formal dining room, and a statement fireplace in the living room. Situated on a quiet tree-lined block in Inner Sunset — laid-back neighborhood with great restaurants and quick park access.",None
SF835962,"2560 Grattan St, San Francisco, CA",1700000,1,1.5,650,Condo,Contemporary,Cole Valley,San Francisco Unified School District,Grattan Elementary,Presidio Middle School,Galileo High School,"Modern living in the vibrant Cole Valley neighborhood. This sleek 1BD/1.5BA contemporary condo (650 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and a sunny deck. Naturally lit throughout with oversized windows flooding rooms with natural light. Building features secure entry, elevator, and bike room. Washer/dryer hookups and 1-car garage included.",None
SF178693,"1911 California St #27A, San Francisco, CA",1825000,3,3.5,3050,Single Family,Edwardian,Inner Richmond,San Francisco Unified School District,Argonne Elementary,Roosevelt Middle School,George Washington High School,"Rare opportunity to own a meticulously restored Edwardian in Inner Richmond. This 3-bed, 3.5-bath home (3,050 sq ft) balances period character with modern updates. The chef's kitchen with Carrara marble countertops and stainless appliances leads to a sunny deck, ideal for entertaining. Upstairs, the sun-drenched primary bedroom features an ensuite bath and walk-in closet. Original hardwood floors throughout. Ev-ready garage and in-unit washer/dryer. Inner Richmond is celebrated for diverse, quiet neighborhood with authentic dining and proximity to the park — this home delivers it all.",None
SF861697,"2340 States St, San Francisco, CA",1575000,0,1.0,1650,Condo,Art Deco,Castro,San Francisco Unified School District,Sanchez Elementary,Everett Middle School,Mission High School,"Modern living in the vibrant Castro neighborhood. This sleek 0BD/1.0BA art deco condo (1,650 sq ft) features gourmet kitchen with waterfall island and wine refrigerator, Bosch appliances, and a rooftop terrace. Sun-drenched throughout with oversized windows flooding rooms with natural light. Building features concierge, fitness center, and guest suite. In-unit laundry closet and EV-ready garage included.",None
SF157216,"3087 California St, San Francisco, CA",1050000,2,2.5,1450,Condo,Art Deco,Nob Hill,San Francisco Unified School District,Spring Valley Elementary,Francisco Middle School,Galileo High School,"Welcome to unit #17A — a sun-drenched 2BD/2.5BA residence in one of Nob Hill's most desirable buildings. At 1,450 sq ft, this art deco condo offers gourmet kitchen with waterfall island and wine refrigerator, custom built-ins, and wide-plank white oak floors. Amenities include bike storage and package room. Washer/dryer hookups, 1-car parking. Enjoy breathtaking city views from the living areas and primary suite.",City View
SF457411,"3153 20th St, San Francisco, CA",1225000,3,3.0,1400,Condo,Contemporary,Dogpatch,San Francisco Unified School District,Bryant Elementary,Francisco Middle School,John O'Connell High School,"Modern living in the vibrant Dogpatch neighborhood. This sleek 3BD/3.0BA contemporary condo (1,400 sq ft) features chef's kitchen with Carrara marble countertops and stainless appliances, Bosch appliances, and a shared roof deck with panoramic views. Bright and airy throughout with double-pane windows for sound insulation. Building features secure entry, elevator, and bike room. Dedicated laundry room and 1-car garage included. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF978146,"3926 Webster St, San Francisco, CA",2425000,5,6.0,3050,Single Family,Edwardian,Lower Haight,San Francisco Unified School District,Buena Vista Elementary,Presidio Middle School,Galileo High School,"Exceptional Edwardian 5BD/6.0BA in coveted Lower Haight. Spanning 3,050 sq ft, this luminous home features bright eat-in kitchen with breakfast nook and garden window, gleaming hardwood floors, and a rooftop terrace. The spacious primary suite offers a walk-in closet and spa-inspired bath. Additional highlights: washer/dryer hookups, 1-car parking, formal dining room, and a statement fireplace in the living room. Situated on a wide flat lot in Lower Haight — gritty, creative neighborhood with dive bars and vintage shops. Enjoy breathtaking garden views from the living areas and primary suite.",Garden View
SF846454,"2822 2nd St #22A, San Francisco, CA",1400000,4,4.5,2000,Single Family,Modern Farmhouse,SOMA,San Francisco Unified School District,Mira Loma Elementary,Francisco Middle School,City Arts & Tech High School,"Welcome to this stunning Modern Farmhouse home nestled in the heart of SOMA. This luminous 4-bedroom, 4.5-bath residence offers 2,000 sq ft of thoughtfully designed living space soaking in bay views. The designer kitchen with integrated appliances and pantry anchors the main floor, opening to a wrap-around deck. Original architectural details — including coffered ceilings and built-ins — have been lovingly preserved. Luminous primary suite with spa bath. In-unit laundry closet and 1-car parking complete the package. Enjoy breathtaking bay views from the living areas and primary suite. Steps from SOMA's top-rated schools and green spaces.",Bay View
SF746036,"3273 De Haro St, San Francisco, CA",1975000,2,3.5,1400,Townhouse,Craftsman,Potrero Hill,San Francisco Unified School District,Daniel Webster Elementary,James Lick Middle School,Mission High School,"Exceptional end-unit Craftsman townhouse in the heart of Potrero Hill. 2 bedrooms, 3.5 baths, 1,400 sq ft. Designed for modern living with designer kitchen with integrated appliances and pantry, open-plan great room, and a charming Juliet balcony. Generous primary suite with spa bath and walk-in closet. Deeded parking, in-unit washer/dryer, smart home features throughout. Enjoy breathtaking bay views from the living areas and primary suite. Walk to Potrero Hill's acclaimed farmers market and green spaces.",Bay View
SF683635,"2916 Jones St, San Francisco, CA",1400000,2,2.5,450,Condo,Art Deco,Nob Hill,San Francisco Unified School District,Spring Valley Elementary,Francisco Middle School,City Arts & Tech High School,"Sophisticated 2BD/2.5BA art deco condo in the heart of Nob Hill. This naturally lit 450 sq ft residence features chef's kitchen with Carrara marble countertops and stainless appliances, open-concept living/dining, and floor-to-ceiling windows. The primary suite offers an ensuite bath with heated floors. Dedicated laundry room, deeded parking, and a charming Juliet balcony round out this exceptional offering. Enjoy breathtaking city views from the living areas and primary suite. Walk to Nob Hill's Michelin-starred restaurants and nightlife.",City View
